record_id,file_name,department,recording_type,duration_sec,sample_rate_hz,channels,created_date,created_by,file_size_mb,storage_tier,storage_cost_usd_month
1,rec_00001.aac,ResLife,Training,4473,44100,1,2024-12-19,staff,97.33601031426927,Standard,0.0023708725301506426
2,rec_00002.flac,Admissions,Front Desk Call,1468,16000,1,2024-09-14,dm,11.12839624751298,Standard,0.00023210684368792293
3,rec_00003.flac,ResLife,Front Desk Call,2257,16000,1,2024-12-02,staff,18.478800948606274,Archive,0.00013767283663734174
4,rec_00004.aac,Housing,Interview,5864,48000,1,2024-11-11,dm,204.68024553554017,Standard,0.005056652072444319
5,rec_00005.m4a,Housing,Front Desk Call,919,44100,2,2024-12-02,dm,23.581763204484353,Standard,0.0005558844603232938
6,rec_00006.flac,IT,Meeting,5179,22050,1,2024-11-16,staff,68.53158341047553,Standard,0.0015529077378632263
7,rec_00007.aac,Housing,Meeting,2932,44100,2,2024-12-21,ga,69.48251891390078,Standard,0.001456434761390167
8,rec_00008.mp3,IT,Interview,6476,48000,1,2024-09-14,staff,199.99846032363388,Standard,0.004071592380216428
9,rec_00009.wav,Housing,Training,2955,16000,2,2024-09-03,staff,23.261791909063977,Standard,0.0005047632061924649
10,rec_00010.mp3,RESLIFE,Front Desk Call,6657,48000,1,2024-09-25,admin,235.06727244088245,Standard,0.004952621499881489
11,rec_00011.mp3,IT,Incident Report,1202,16000,2,2024-09-12,dm,9.013770965774489,Standard,0.00021799675668138135
12,rec_00012.aac,ResLife,Interview,1715,44100,1,2024-11-20,ga,34.89357236033842,Infrequent,0.0004718508420743937
13,rec_00013.aac,IT,Training,3169,16000,2,2024-11-05,admin,23.95531625007233,Infrequent,0.0003231977296865268
14,rec_00014.wav,Housing,Incident Report,6638,16000,1,2024-12-12,staff,54.189054232385836,Infrequent,0.0007466714910569158
15,rec_00015.m4a,IT,Incident Report,6371,44100,1,2024-12-19,dm,164.23089706483222,Standard,0.0036839976194287683
16,rec_00016.aac,Athletics,Training,2912,44100,1,2024-10-17,staff,77.31966614317137,Standard,0.001645596969403345
17,rec_00017.wav,IT,Training,6162,22050,2,2024-12-08,staff,76.27327280847737,Standard,0.0017932524798768507
18,rec_00018.flac,ResLife,Incident Report,4894,44100,2,2024-11-03,staff,125.48434995794105,Standard,0.002952581290624329
19,rec_00019.wav,Athletics,Interview,7067,48000,2,2024-12-11,staff,241.5414460855983,Infrequent,0.0035213691398517165
20,rec_00020.m4a,ResLife,Incident Report,6861,16000,1,2024-11-24,dm,58.56740367342694,Standard,0.0013124746340630396
21,rec_00021.aac,Library,Front Desk Call,5907,16000,1,2024-10-27,dm,47.52483266729222,Archive,0.00034603001065622367
22,rec_00022.mp3,Library,Meeting,4292,44100,2,2024-11-09,ga,114.01956284574413,Standard,0.002798042733009795
23,rec_00023.mp3,IT,Training,2701,22050,1,2024-09-27,staff,35.36979025349697,Standard,0.0007173816034442609
24,rec_00024.mp3,Athletics,Incident Report,4203,16000,1,2024-10-26,dm,27.986774080957662,Infrequent,0.00035127564917330665
25,rec_00025.flac,IT,Meeting,5928,44100,2,2024-09-05,staff,123.15453630744014,Archive,0.0010082910934013554
26,rec_00026.mp3,Housing,Front Desk Call,524,44100,1,2024-11-16,staff,14.094973608665798,Standard,0.00033956090590592876
27,rec_00027.aac,ResLife,Meeting,2681,48000,1,2024-09-11,dm,87.96285084179033,Infrequent,0.001290470689736839
28,rec_00028.m4a,Admissions,Incident Report,4301,48000,1,2024-11-25,staff,119.8936541958305,Standard,0.002744278659395614
29,rec_00029.m4a,Library,Meeting,5467,48000,2,2024-12-19,admin,191.90568391254868,Standard,0.0041174943844958485
30,rec_00030.m4a,Housing,Interview,1747,16000,1,2024-12-06,staff,11.966569651272826,Standard,0.00024355492087610027
31,rec_00031.m4a,Admissions,Front Desk Call,2044,48000,2,2024-10-17,staff,64.59852677308213,Infrequent,0.0009114454430598897
32,rec_00032.m4a,ResLife,Incident Report,2804,44100,2,2024-11-07,ga,63.50252690107623,Standard,0.001466770988044443
33,rec_00033.m4a,Housing,Training,5456,16000,1,2024-11-16,ga,39.91955313644708,Archive,0.0002897403584607674
34,rec_00034.aac,Library,Front Desk Call,2729,48000,1,2024-11-19,staff,78.60802683774303,Standard,0.0018526989185982516
