patient_segment,specialty,referrals,completed,leaked,no_shows,median_wait_days,p90_wait_days,avg_capacity_score,avg_need_index,deferred_visit_value,completion_rate,leakage_rate,no_show_rate
Uninsured,Neurology,47,21,16,8,51.0,61.4,58.763829787234044,71.49361702127659,17742.54,0.44680851063829785,0.3404255319148936,0.1702127659574468
Medicaid,Behavioral Health,247,131,80,28,43.0,61.0,57.878542510121456,66.18785425101214,23741.019999999997,0.5303643724696356,0.32388663967611336,0.11336032388663968
Uninsured,Dermatology,43,22,13,3,46.0,55.60000000000001,67.84418604651164,70.68139534883721,4227.25,0.5116279069767442,0.3023255813953488,0.06976744186046512
Medicaid,Neurology,156,90,46,17,51.5,65.5,56.5224358974359,63.194230769230764,46439.899999999994,0.5769230769230769,0.2948717948717949,0.10897435897435898
Uninsured,Endocrinology,39,24,11,3,38.0,51.000000000000014,71.03076923076922,66.02051282051282,5235.3099999999995,0.6153846153846154,0.28205128205128205,0.07692307692307693
Medicare,Neurology,175,113,47,9,51.0,64.0,54.82857142857143,51.53657142857143,40319.380000000005,0.6457142857142857,0.26857142857142857,0.05142857142857143
Uninsured,Orthopedics,57,36,15,4,37.0,47.0,72.1736842105263,76.30175438596491,12464.159999999998,0.631578947368421,0.2631578947368421,0.07017543859649122
Medicaid,Dermatology,147,96,38,11,43.0,54.400000000000006,67.93605442176872,63.01632653061224,13031.35,0.6530612244897959,0.2585034013605442,0.07482993197278912
Medicaid,Orthopedics,199,123,48,21,36.0,47.20000000000002,70.81507537688442,65.27236180904524,45869.71,0.6180904522613065,0.24120603015075376,0.10552763819095477
Commercial,Neurology,272,180,63,17,50.0,63.0,56.390073529411765,51.08235294117647,58221.28,0.6617647058823529,0.23161764705882354,0.0625
Medicare,Endocrinology,153,100,34,14,38.0,47.0,68.69346405228758,48.044444444444444,17968.14,0.6535947712418301,0.2222222222222222,0.0915032679738562
Uninsured,Behavioral Health,77,55,17,5,42.0,56.400000000000006,55.58571428571429,72.57792207792208,4741.24,0.7142857142857143,0.22077922077922077,0.06493506493506493
Commercial,Endocrinology,309,213,65,21,39.0,50.0,67.884142394822,50.054368932038834,31141.390000000003,0.6893203883495146,0.21035598705501618,0.06796116504854369
Medicaid,Endocrinology,162,105,34,14,40.0,50.900000000000006,70.40987654320988,62.05370370370371,17972.190000000002,0.6481481481481481,0.20987654320987653,0.08641975308641975
Medicare,Dermatology,148,97,31,13,42.0,52.30000000000001,69.59864864864865,51.733783783783785,11578.019999999999,0.6554054054054054,0.20945945945945946,0.08783783783783784
Commercial,Behavioral Health,412,281,85,30,41.0,54.0,56.62572815533981,50.80776699029126,25898.12,0.6820388349514563,0.20631067961165048,0.07281553398058252
Commercial,Orthopedics,363,236,71,38,34.0,46.0,70.25757575757575,51.517079889807164,67060.87,0.650137741046832,0.19559228650137742,0.1046831955922865
Commercial,Dermatology,314,215,60,28,42.5,53.69999999999999,68.35254777070064,50.83471337579618,23557.57,0.6847133757961783,0.1910828025477707,0.08917197452229299
Uninsured,Cardiology,79,46,14,12,29.0,44.0,68.8367088607595,70.98101265822785,14008.63,0.5822784810126582,0.17721518987341772,0.1518987341772152
Medicare,Behavioral Health,230,169,38,17,41.0,54.099999999999994,57.39478260869565,52.23739130434783,12171.560000000001,0.7347826086956522,0.16521739130434782,0.07391304347826087
Medicaid,Imaging,221,160,34,18,19.0,33.0,67.98280542986426,66.57511312217194,24620.609999999997,0.7239819004524887,0.15384615384615385,0.08144796380090498
Uninsured,Imaging,65,49,10,5,19.0,35.2,68.04923076923076,68.91692307692308,7474.2,0.7538461538461538,0.15384615384615385,0.07692307692307693
Medicaid,Cardiology,212,153,32,22,28.0,41.0,69.4566037735849,66.30660377358491,29092.03,0.7216981132075472,0.1509433962264151,0.10377358490566038
Medicare,Cardiology,205,151,30,14,28.0,39.599999999999994,70.27170731707318,49.23024390243903,23830.09,0.7365853658536585,0.14634146341463414,0.06829268292682927
Uninsured,Oncology,43,33,6,1,28.0,40.60000000000001,52.723255813953486,70.2046511627907,10093.88,0.7674418604651163,0.13953488372093023,0.023255813953488372
Medicare,Orthopedics,198,147,27,15,36.0,48.0,68.99343434343434,51.188383838383835,26144.010000000002,0.7424242424242424,0.13636363636363635,0.07575757575757576
Commercial,Cardiology,348,265,47,25,27.0,41.0,68.51724137931035,50.6985632183908,36904.159999999996,0.7614942528735632,0.13505747126436782,0.07183908045977011
Medicare,Imaging,191,145,24,15,19.0,32.0,68.21989528795811,50.62303664921466,17641.98,0.7591623036649214,0.1256544502617801,0.07853403141361257
Commercial,Oncology,241,191,28,16,26.0,40.0,56.395850622406634,50.55684647302905,64147.87,0.7925311203319502,0.11618257261410789,0.06639004149377593
Medicare,Oncology,127,88,13,19,26.0,39.0,57.15511811023622,52.93779527559055,42513.979999999996,0.6929133858267716,0.10236220472440945,0.14960629921259844
Commercial,Imaging,369,294,34,20,18.0,30.0,69.62520325203252,49.45555555555555,26410.820000000003,0.7967479674796748,0.0921409214092141,0.05420054200542006
Medicaid,Oncology,151,116,12,18,24.0,38.0,58.428476821192056,64.80529801324504,37858.009999999995,0.7682119205298014,0.07947019867549669,0.11920529801324503
