patient_segment,specialty,referrals_baseline,referrals_recent,leakage_rate_baseline,leakage_rate_recent,median_wait_days_baseline,median_wait_days_recent,leakage_drift_delta,wait_drift_days
Uninsured,Neurology,37.0,10.0,0.2972972972972973,0.5,50.0,52.0,0.2027027027027027,2.0
Medicaid,Behavioral Health,176.0,71.0,0.2897727272727273,0.4084507042253521,41.0,46.0,0.11867797695262483,5.0
Medicaid,Endocrinology,117.0,45.0,0.1794871794871795,0.28888888888888886,40.0,39.0,0.10940170940170937,-1.0
Commercial,Dermatology,243.0,71.0,0.16872427983539096,0.2676056338028169,41.0,45.0,0.09888135396742592,4.0
Commercial,Neurology,199.0,73.0,0.20603015075376885,0.3013698630136986,49.0,51.0,0.09533971225992977,2.0
Medicare,Endocrinology,119.0,34.0,0.20168067226890757,0.29411764705882354,37.0,38.0,0.09243697478991597,1.0
Medicare,Oncology,97.0,30.0,0.08247422680412371,0.16666666666666666,27.0,25.5,0.08419243986254295,-1.5
Uninsured,Dermatology,32.0,11.0,0.28125,0.36363636363636365,44.5,50.0,0.08238636363636365,5.5
Commercial,Imaging,271.0,98.0,0.07749077490774908,0.1326530612244898,18.0,19.5,0.05516228631674072,1.5
Uninsured,Endocrinology,26.0,13.0,0.2692307692307692,0.3076923076923077,40.0,38.0,0.03846153846153849,-2.0
Medicaid,Neurology,108.0,48.0,0.28703703703703703,0.3125,52.5,49.5,0.025462962962962965,-3.0
Medicaid,Orthopedics,152.0,47.0,0.23684210526315788,0.2553191489361702,36.0,37.0,0.01847704367301231,1.0
Commercial,Endocrinology,222.0,87.0,0.2072072072072072,0.21839080459770116,39.0,38.0,0.01118359739049396,-1.0
Uninsured,Behavioral Health,55.0,22.0,0.21818181818181817,0.22727272727272727,40.0,43.0,0.009090909090909094,3.0
Uninsured,Cardiology,56.0,23.0,0.17857142857142858,0.17391304347826086,29.0,31.0,-0.004658385093167711,2.0
Medicaid,Imaging,161.0,60.0,0.15527950310559005,0.15,20.0,19.0,-0.005279503105590055,-1.0
Medicare,Behavioral Health,168.0,62.0,0.16666666666666666,0.16129032258064516,41.0,40.5,-0.005376344086021501,-0.5
Commercial,Behavioral Health,317.0,95.0,0.2113564668769716,0.18947368421052632,41.0,40.0,-0.021882782666445277,-1.0
Medicare,Orthopedics,148.0,50.0,0.14189189189189189,0.12,35.0,38.0,-0.02189189189189189,3.0
Commercial,Orthopedics,272.0,91.0,0.20220588235294118,0.17582417582417584,35.0,34.0,-0.026381706528765342,-1.0
Commercial,Oncology,187.0,54.0,0.12299465240641712,0.09259259259259259,26.0,26.0,-0.03040205981382453,0.0
Medicare,Imaging,142.0,49.0,0.13380281690140844,0.10204081632653061,19.0,17.0,-0.031762000574877824,-2.0
Medicaid,Cardiology,164.0,48.0,0.15853658536585366,0.125,28.0,28.0,-0.03353658536585366,0.0
Medicare,Cardiology,161.0,44.0,0.15527950310559005,0.11363636363636363,28.0,30.0,-0.04164313946922642,2.0
Uninsured,Imaging,48.0,17.0,0.16666666666666666,0.11764705882352941,19.0,19.0,-0.04901960784313725,0.0
Uninsured,Orthopedics,39.0,18.0,0.28205128205128205,0.2222222222222222,39.0,34.0,-0.05982905982905984,-5.0
Medicaid,Oncology,110.0,41.0,0.1,0.024390243902439025,24.0,24.0,-0.07560975609756099,0.0
Commercial,Cardiology,257.0,91.0,0.1556420233463035,0.07692307692307693,27.0,27.0,-0.07871894642322658,0.0
Medicaid,Dermatology,106.0,41.0,0.2830188679245283,0.1951219512195122,41.0,47.0,-0.08789691670501609,6.0
Uninsured,Oncology,30.0,13.0,0.16666666666666666,0.07692307692307693,28.0,27.0,-0.08974358974358973,-1.0
Medicare,Dermatology,111.0,37.0,0.23423423423423423,0.13513513513513514,42.0,44.0,-0.09909909909909909,2.0
Medicare,Neurology,120.0,55.0,0.3,0.2,51.0,52.0,-0.09999999999999998,1.0
