patient_segment,payer,specialty,referrals,leakage_rate,completion_rate,median_wait_days,avg_need_index,avg_capacity_score,avg_expected_visit_value,leakage_gap,wait_gap_days,excess_leaked_referrals,estimated_excess_value
Medicaid,Aster Health,Neurology,46,0.34782608695652173,0.5652173913043478,48.5,62.32826086956521,59.03478260869565,754.2423913043478,0.16065942028985505,12.5,7.4,5581.39
Commercial,CivicCare,Neurology,62,0.2903225806451613,0.5806451612903226,52.0,52.53548387096774,56.51129032258064,712.4908064516129,0.10315591397849463,16.0,6.4,4559.94
Medicare,Meridian Choice,Neurology,26,0.38461538461538464,0.5,56.0,54.46923076923077,52.75384615384615,705.2253846153847,0.19744871794871796,20.0,5.1,3596.65
Medicaid,CivicCare,Behavioral Health,80,0.3875,0.4625,47.0,64.73375,56.6075,223.309125,0.20033333333333334,11.0,16.0,3572.95
Medicaid,Blue Harbor,Neurology,47,0.2765957446808511,0.6170212765957447,50.0,65.23829787234042,55.47021276595744,755.2036170212766,0.0894290780141844,14.0,4.2,3171.86
Medicare,Aster Health,Neurology,67,0.2537313432835821,0.7014925373134329,48.0,49.58656716417911,54.656716417910445,700.6234328358208,0.06656467661691542,12.0,4.5,3152.81
Commercial,Meridian Choice,Neurology,47,0.2765957446808511,0.5957446808510638,53.0,54.69574468085106,54.55106382978724,714.7325531914894,0.0894290780141844,17.0,4.2,3001.88
Medicaid,Blue Harbor,Orthopedics,44,0.2727272727272727,0.4772727272727273,36.0,64.77499999999999,69.85000000000001,646.1445454545454,0.08556060606060603,0.0,3.8,2455.35
Medicare,CivicCare,Neurology,40,0.275,0.65,55.5,54.989999999999995,53.77,692.761,0.08783333333333335,19.5,3.5,2424.66
Medicaid,Meridian Choice,Neurology,31,0.2903225806451613,0.6451612903225806,55.0,61.932258064516134,55.99354838709677,689.5451612903227,0.10315591397849463,19.0,3.2,2206.54
Uninsured,Blue Harbor,Neurology,12,0.4166666666666667,0.3333333333333333,45.5,68.27499999999999,57.78333333333333,742.8425000000001,0.2295,9.5,2.8,2079.96
Medicaid,Meridian Choice,Behavioral Health,41,0.4146341463414634,0.36585365853658536,51.0,67.83170731707317,55.37073170731707,221.0480487804878,0.22746747967479672,15.0,9.3,2055.75
Uninsured,Aster Health,Orthopedics,16,0.375,0.5,36.0,80.575,70.99375,672.775,0.18783333333333332,0.0,3.0,2018.32
Uninsured,Aster Health,Neurology,13,0.38461538461538464,0.46153846153846156,49.0,68.23846153846154,56.715384615384615,764.9146153846153,0.19744871794871796,13.0,2.6,1988.78
Commercial,Aster Health,Orthopedics,127,0.2125984251968504,0.6692913385826772,33.0,51.32834645669291,69.78740157480316,606.6028346456693,0.02543175853018373,-3.0,3.2,1941.13
Medicaid,Meridian Choice,Orthopedics,32,0.28125,0.71875,39.0,64.703125,74.45,642.9171875,0.09408333333333332,3.0,3.0,1928.75
Medicaid,Aster Health,Dermatology,46,0.32608695652173914,0.5869565217391305,41.0,64.4391304347826,67.6,278.52260869565214,0.13892028985507246,5.0,6.4,1782.54
Medicaid,CivicCare,Orthopedics,56,0.23214285714285715,0.6428571428571429,36.0,64.7375,69.68214285714285,644.7444642857143,0.044976190476190475,0.0,2.5,1611.86
Commercial,Blue Harbor,Orthopedics,99,0.21212121212121213,0.6161616161616161,36.0,51.01414141414141,71.36868686868686,611.2982828282828,0.02495454545454545,0.0,2.5,1528.25
Uninsured,CivicCare,Orthopedics,13,0.38461538461538464,0.46153846153846156,36.0,75.8,71.77692307692308,584.9084615384616,0.19744871794871796,0.0,2.6,1520.76
Commercial,Meridian Choice,Endocrinology,58,0.25862068965517243,0.603448275862069,41.0,50.95344827586207,67.28103448275863,365.8136206896551,0.07145402298850576,5.0,4.1,1499.84
Commercial,Blue Harbor,Dermatology,84,0.25,0.6428571428571429,39.0,54.05476190476191,68.44761904761906,262.38369047619045,0.06283333333333332,3.0,5.3,1390.63
Medicaid,CivicCare,Neurology,32,0.25,0.46875,52.5,62.659375,54.96875,689.04,0.06283333333333332,16.5,2.0,1378.08
Medicaid,CivicCare,Cardiology,61,0.22950819672131148,0.6229508196721312,33.0,68.29344262295082,68.96393442622951,529.2880327868852,0.042341530054644805,-3.0,2.6,1376.15
Medicare,Meridian Choice,Cardiology,35,0.2571428571428571,0.5428571428571428,32.0,44.78285714285715,74.06,573.388,0.06997619047619044,-4.0,2.4,1376.13
Uninsured,Aster Health,Oncology,16,0.25,0.625,27.0,69.325,51.2125,1365.763125,0.06283333333333332,-9.0,1.0,1365.76
Medicare,Aster Health,Endocrinology,51,0.2549019607843137,0.6666666666666666,35.0,48.727450980392156,70.81372549019608,380.8356862745098,0.06773529411764703,-1.0,3.5,1332.92
Commercial,Meridian Choice,Behavioral Health,87,0.25287356321839083,0.6551724137931034,43.0,49.09310344827587,58.35862068965517,225.65793103448277,0.06570689655172415,7.0,5.7,1286.25
Commercial,Blue Harbor,Behavioral Health,99,0.24242424242424243,0.6060606060606061,38.0,51.12929292929293,56.65858585858586,225.20909090909092,0.055257575757575755,2.0,5.5,1238.65
Uninsured,Meridian Choice,Dermatology,13,0.5384615384615384,0.3076923076923077,49.0,68.71538461538461,70.99230769230769,266.5138461538462,0.35129487179487173,13.0,4.6,1225.96
Medicaid,Aster Health,Behavioral Health,72,0.2638888888888889,0.6111111111111112,39.5,68.40555555555555,58.59027777777778,211.34819444444443,0.07672222222222222,3.5,5.5,1162.42
Uninsured,Blue Harbor,Imaging,10,0.4,0.4,26.5,76.6,66.4,528.389,0.21283333333333335,-9.5,2.1,1109.62
Medicaid,Aster Health,Orthopedics,67,0.208955223880597,0.6417910447761194,36.0,66.3179104477612,70.65970149253731,654.9759701492537,0.021788557213930332,0.0,1.5,982.46
Medicare,CivicCare,Endocrinology,29,0.27586206896551724,0.5517241379310345,41.0,49.30344827586207,67.41034482758621,371.7706896551724,0.08869540229885056,5.0,2.6,966.6
Medicaid,Aster Health,Endocrinology,56,0.23214285714285715,0.6607142857142857,35.5,58.71785714285714,71.875,384.5933928571429,0.044976190476190475,-0.5,2.5,961.48
Uninsured,CivicCare,Neurology,14,0.2857142857142857,0.5714285714285714,55.0,68.98571428571428,61.48571428571428,678.8442857142857,0.09854761904761902,19.0,1.4,950.38
Uninsured,CivicCare,Endocrinology,9,0.4444444444444444,0.5555555555555556,40.0,62.900000000000006,72.72222222222223,391.7188888888889,0.2572777777777777,4.0,2.3,900.95
Uninsured,Blue Harbor,Cardiology,23,0.2608695652173913,0.391304347826087,28.0,72.76521739130435,71.61739130434783,494.19217391304346,0.07370289855072462,-8.0,1.7,840.13
Medicare,Meridian Choice,Endocrinology,26,0.2692307692307692,0.5769230769230769,42.5,48.15384615384615,65.90384615384616,370.4438461538462,0.08206410256410254,6.5,2.1,777.93
Commercial,CivicCare,Endocrinology,74,0.21621621621621623,0.6756756756756757,42.5,47.821621621621624,66.17027027027028,364.25662162162166,0.029049549549549553,6.5,2.1,764.94
Commercial,CivicCare,Behavioral Health,100,0.22,0.68,44.0,48.792,55.68600000000001,227.4953,0.032833333333333325,8.0,3.3,750.73
Medicare,Blue Harbor,Neurology,42,0.21428571428571427,0.6428571428571429,49.5,49.542857142857144,57.39523809523809,680.8097619047619,0.027119047619047598,13.5,1.1,748.89
Commercial,Aster Health,Neurology,96,0.19791666666666666,0.6979166666666666,48.0,49.06979166666667,57.76770833333333,697.5606250000001,0.010749999999999982,12.0,1.0,697.56
Medicaid,CivicCare,Dermatology,28,0.2857142857142857,0.6071428571428571,44.0,60.05357142857143,72.87857142857142,247.37928571428571,0.09854761904761902,8.0,2.8,692.66
Commercial,Aster Health,Endocrinology,108,0.2037037037037037,0.7129629629629629,37.0,51.029629629629625,68.10185185185185,364.9791666666667,0.016537037037037017,1.0,1.8,656.96
Medicaid,Blue Harbor,Behavioral Health,54,0.24074074074074073,0.6481481481481481,36.5,64.13703703703703,60.71666666666666,224.46481481481482,0.05357407407407405,0.5,2.9,650.95
Medicare,Aster Health,Dermatology,52,0.23076923076923078,0.5576923076923077,39.0,50.486538461538466,68.09807692307692,273.4482692307692,0.043602564102564106,3.0,2.3,628.93
Medicaid,Blue Harbor,Endocrinology,36,0.2222222222222222,0.6388888888888888,38.0,63.647222222222226,68.41388888888889,364.0647222222222,0.035055555555555534,2.0,1.3,473.28
Medicare,Meridian Choice,Dermatology,23,0.2608695652173913,0.6956521739130435,45.0,55.34347826086957,70.67391304347827,268.80434782608694,0.07370289855072462,9.0,1.7,456.97
Uninsured,Meridian Choice,Orthopedics,7,0.2857142857142857,0.7142857142857143,31.0,72.84285714285714,81.25714285714285,649.9485714285714,0.09854761904761902,-5.0,0.7,454.96
Medicaid,Meridian Choice,Dermatology,33,0.24242424242424243,0.6666666666666666,47.0,60.43030303030303,66.84545454545454,250.93636363636364,0.055257575757575755,11.0,1.8,451.69
Uninsured,Blue Harbor,Behavioral Health,22,0.2727272727272727,0.6818181818181818,37.5,75.95454545454545,59.73636363636364,227.59545454545457,0.08556060606060603,1.5,1.9,432.43
Commercial,Meridian Choice,Dermatology,56,0.21428571428571427,0.7142857142857143,46.5,50.50178571428571,66.83928571428571,264.46982142857144,0.027119047619047598,10.5,1.5,396.7
Uninsured,Blue Harbor,Endocrinology,10,0.3,0.7,40.5,69.05,64.88,357.839,0.11283333333333331,4.5,1.1,393.62
Medicaid,CivicCare,Endocrinology,43,0.20930232558139536,0.6511627906976745,42.0,64.12093023255814,67.55116279069767,390.99395348837214,0.022135658914728684,6.0,1.0,390.99
Medicare,Meridian Choice,Behavioral Health,39,0.23076923076923078,0.6410256410256411,44.0,50.202564102564104,58.31025641025641,225.11153846153846,0.043602564102564106,8.0,1.7,382.69
Medicare,CivicCare,Dermatology,46,0.21739130434782608,0.6956521739130435,45.0,50.90869565217392,71.67826086956521,269.9247826086957,0.030224637681159405,9.0,1.4,377.89
Uninsured,Meridian Choice,Neurology,8,0.25,0.375,57.0,86.0,58.8,744.90125,0.06283333333333332,21.0,0.5,372.45
Commercial,Blue Harbor,Neurology,67,0.19402985074626866,0.7313432835820896,46.0,50.08656716417911,55.594029850746274,741.0825373134328,0.006863184079601986,10.0,0.5,370.54
Medicaid,Aster Health,Imaging,71,0.19718309859154928,0.647887323943662,19.0,67.3056338028169,68.47323943661972,484.3860563380282,0.010016431924882607,-17.0,0.7,339.07
Uninsured,Aster Health,Dermatology,16,0.25,0.5,43.0,68.8125,66.8625,254.08937500000002,0.06283333333333332,7.0,1.0,254.09
Uninsured,Aster Health,Endocrinology,13,0.23076923076923078,0.6923076923076923,34.0,64.81538461538462,75.37692307692308,382.6107692307692,0.043602564102564106,-2.0,0.6,229.57
Uninsured,Meridian Choice,Behavioral Health,12,0.25,0.5,45.5,73.74166666666666,57.9,224.76083333333335,0.06283333333333332,9.5,0.8,179.81
Medicare,CivicCare,Behavioral Health,65,0.2,0.6461538461538462,42.0,49.86923076923077,58.949230769230766,218.18446153846153,0.012833333333333335,6.0,0.8,174.55
Commercial,Meridian Choice,Cardiology,63,0.19047619047619047,0.7142857142857143,32.0,48.43015873015873,69.31587301587301,503.55111111111114,0.00330952380952379,-4.0,0.2,100.71
