payer,service_line,claims,denials,avg_documentation_score,avg_expected_reimbursement,denied_reimbursement,denial_rate
Meridian Choice,Behavioral Health,117,41,74.50940170940171,358.4291452991453,15298.99,0.3504273504273504
Blue Harbor,Behavioral Health,185,49,72.14324324324325,345.99335135135135,17291.64,0.2648648648648649
Meridian Choice,Oncology,84,21,75.16785714285714,4043.88369047619,79217.57999999999,0.25
CivicCare,Behavioral Health,193,45,73.54455958549222,339.63212435233163,15131.490000000002,0.23316062176165803
Aster Health,Behavioral Health,248,56,73.69435483870969,345.3388306451613,20007.04,0.22580645161290322
Meridian Choice,Orthopedics,143,32,75.41958041958041,2245.8320979020978,69746.12,0.22377622377622378
Meridian Choice,Primary Care,205,42,77.73414634146341,187.1183902439024,7750.899999999999,0.2048780487804878
Meridian Choice,Cardiology,123,25,77.96504065040651,1582.689024390244,39655.52999999999,0.2032520325203252
Aster Health,Imaging,352,71,75.9875,644.4058522727272,46951.450000000004,0.20170454545454544
Blue Harbor,Orthopedics,221,42,76.70407239819004,2195.024479638009,91635.69,0.19004524886877827
CivicCare,Orthopedics,212,40,77.57688679245283,2210.057924528302,88117.45000000001,0.18867924528301888
Blue Harbor,Oncology,134,25,77.42686567164179,4107.497164179104,104642.58,0.1865671641791045
Aster Health,Orthopedics,271,48,76.20553505535055,2265.4523985239853,107319.17,0.17712177121771217
Meridian Choice,Imaging,187,33,77.66203208556149,625.9189304812834,22058.69,0.17647058823529413
CivicCare,Imaging,261,46,76.56666666666668,628.4290421455939,28645.449999999997,0.17624521072796934
Aster Health,Cardiology,245,43,75.83551020408163,1503.6459591836735,66293.53,0.17551020408163265
Aster Health,Oncology,161,28,76.90062111801242,3968.780807453416,108519.78,0.17391304347826086
CivicCare,Cardiology,181,31,76.87182320441988,1502.6488950276243,46150.389999999985,0.1712707182320442
Blue Harbor,Imaging,270,44,77.12259259259258,657.9107777777778,29811.189999999995,0.16296296296296298
Blue Harbor,Primary Care,265,43,76.17622641509435,186.2458490566038,8085.65,0.16226415094339622
CivicCare,Oncology,144,22,78.20694444444445,4085.929166666667,95796.29999999999,0.1527777777777778
Aster Health,Primary Care,328,49,76.39085365853659,182.91064024390244,8902.199999999999,0.14939024390243902
CivicCare,Primary Care,250,36,77.4028,187.77396,6589.42,0.144
Blue Harbor,Cardiology,220,30,76.81227272727273,1544.9203636363636,42752.66999999999,0.13636363636363635
