payer,service_line,claims_baseline,claims_recent,denials_baseline,denials_recent,denial_rate_baseline,denial_rate_recent,drift_delta,recent_volume
Meridian Choice,Behavioral Health,84.0,33.0,25.0,16.0,0.2976190476190476,0.48484848484848486,0.18722943722943725,33.0
Blue Harbor,Cardiology,163.0,57.0,18.0,12.0,0.11042944785276074,0.21052631578947367,0.10009686793671294,57.0
Meridian Choice,Imaging,134.0,53.0,20.0,13.0,0.14925373134328357,0.24528301886792453,0.09602928752464096,53.0
Meridian Choice,Orthopedics,116.0,27.0,24.0,8.0,0.20689655172413793,0.2962962962962963,0.08939974457215835,27.0
Meridian Choice,Primary Care,153.0,52.0,28.0,14.0,0.1830065359477124,0.2692307692307692,0.08622423328305681,52.0
Aster Health,Behavioral Health,193.0,55.0,40.0,16.0,0.20725388601036268,0.2909090909090909,0.08365520489872821,55.0
Meridian Choice,Oncology,54.0,30.0,12.0,9.0,0.2222222222222222,0.3,0.07777777777777778,30.0
CivicCare,Orthopedics,159.0,53.0,27.0,13.0,0.16981132075471697,0.24528301886792453,0.07547169811320756,53.0
Aster Health,Cardiology,187.0,58.0,30.0,13.0,0.16042780748663102,0.22413793103448276,0.06371012354785174,58.0
Blue Harbor,Orthopedics,157.0,64.0,27.0,15.0,0.17197452229299362,0.234375,0.06240047770700638,64.0
Aster Health,Primary Care,249.0,79.0,35.0,14.0,0.14056224899598393,0.17721518987341772,0.03665294087743379,79.0
Aster Health,Oncology,116.0,45.0,19.0,9.0,0.16379310344827586,0.2,0.036206896551724155,45.0
Aster Health,Orthopedics,202.0,69.0,34.0,14.0,0.16831683168316833,0.2028985507246377,0.034581719041469366,69.0
Aster Health,Imaging,259.0,93.0,50.0,21.0,0.19305019305019305,0.22580645161290322,0.03275625856271017,93.0
CivicCare,Primary Care,164.0,86.0,23.0,13.0,0.1402439024390244,0.1511627906976744,0.010918888258650006,86.0
Blue Harbor,Imaging,192.0,78.0,31.0,13.0,0.16145833333333334,0.16666666666666666,0.005208333333333315,78.0
CivicCare,Behavioral Health,136.0,57.0,32.0,13.0,0.23529411764705882,0.22807017543859648,-0.007223942208462342,57.0
CivicCare,Imaging,194.0,67.0,35.0,11.0,0.18041237113402062,0.16417910447761194,-0.016233266656408674,67.0
CivicCare,Cardiology,129.0,52.0,23.0,8.0,0.17829457364341086,0.15384615384615385,-0.02444841979725701,52.0
Blue Harbor,Behavioral Health,144.0,41.0,39.0,10.0,0.2708333333333333,0.24390243902439024,-0.026930894308943076,41.0
Blue Harbor,Oncology,102.0,32.0,20.0,5.0,0.19607843137254902,0.15625,-0.03982843137254902,32.0
Meridian Choice,Cardiology,99.0,24.0,21.0,4.0,0.21212121212121213,0.16666666666666666,-0.04545454545454547,24.0
Blue Harbor,Primary Care,203.0,62.0,36.0,7.0,0.17733990147783252,0.11290322580645161,-0.06443667567138091,62.0
CivicCare,Oncology,112.0,32.0,19.0,3.0,0.16964285714285715,0.09375,-0.07589285714285715,32.0
