patient_segment,payer,service_line,claims,denials,avg_documentation_score,avg_expected_reimbursement,denial_rate,parity_gap,excess_denials_vs_average,estimated_excess_value
Medicare,Meridian Choice,Oncology,20,10,75.695,3655.4644999999996,0.5,0.3116,6.2,22663.88
Medicaid,Blue Harbor,Orthopedics,60,18,72.96499999999999,2194.51,0.3,0.11159999999999998,6.7,14703.22
Medicaid,Meridian Choice,Orthopedics,43,14,69.85348837209303,2241.760930232558,0.32558139534883723,0.13718139534883722,5.9,13226.39
Medicaid,CivicCare,Orthopedics,55,16,73.64181818181818,2221.219090909091,0.2909090909090909,0.10250909090909088,5.6,12438.83
Medicaid,Aster Health,Orthopedics,62,16,71.66774193548386,2312.409677419355,0.25806451612903225,0.06966451612903224,4.3,9943.36
Medicaid,Aster Health,Cardiology,71,19,71.68591549295775,1431.0442253521126,0.2676056338028169,0.07920563380281687,5.6,8013.85
Medicaid,Aster Health,Imaging,80,24,70.0975,661.36775,0.3,0.11159999999999998,8.9,5886.17
Medicaid,Aster Health,Oncology,51,11,72.41176470588235,4175.964509803922,0.21568627450980393,0.02728627450980392,1.4,5846.35
Medicaid,Meridian Choice,Cardiology,31,9,74.28387096774195,1578.337741935484,0.2903225806451613,0.1019225806451613,3.2,5050.68
Medicare,Blue Harbor,Oncology,36,8,80.45277777777778,4092.622777777777,0.2222222222222222,0.0338222222222222,1.2,4911.15
Medicaid,Blue Harbor,Imaging,59,18,75.02203389830508,673.4749152542372,0.3050847457627119,0.11668474576271187,6.9,4646.98
Uninsured,Aster Health,Orthopedics,17,5,70.69411764705882,2147.544705882353,0.29411764705882354,0.10571764705882353,1.8,3865.58
Medicaid,CivicCare,Imaging,70,19,71.28285714285714,630.4521428571429,0.2714285714285714,0.0830285714285714,5.8,3656.62
Medicaid,Aster Health,Behavioral Health,63,22,67.94761904761904,338.9220634920635,0.3492063492063492,0.16080634920634918,10.1,3423.11
Medicare,Meridian Choice,Cardiology,27,7,78.5037037037037,1595.9922222222222,0.25925925925925924,0.07085925925925923,1.9,3032.39
Medicaid,Meridian Choice,Behavioral Health,35,15,71.12857142857143,355.5414285714286,0.42857142857142855,0.24017142857142854,8.4,2986.55
Medicaid,CivicCare,Behavioral Health,47,17,67.57659574468084,347.69702127659576,0.3617021276595745,0.17330212765957448,8.1,2816.35
Commercial,Meridian Choice,Behavioral Health,51,16,74.67843137254901,363.2629411764706,0.3137254901960784,0.12532549019607842,6.4,2324.88
Commercial,Blue Harbor,Behavioral Health,88,23,74.39545454545454,343.75954545454545,0.26136363636363635,0.07296363636363634,6.4,2200.06
Commercial,Aster Health,Imaging,152,32,76.84407894736842,630.7659210526316,0.21052631578947367,0.02212631578947366,3.4,2144.6
Medicare,Aster Health,Oncology,45,9,78.74222222222222,3818.748,0.2,0.0116,0.5,1909.37
Commercial,Blue Harbor,Oncology,67,13,77.32686567164178,4096.75447761194,0.19402985074626866,0.00562985074626865,0.4,1638.7
Medicaid,Meridian Choice,Primary Care,46,17,71.3913043478261,192.96695652173912,0.3695652173913043,0.1811652173913043,8.3,1601.63
Medicaid,CivicCare,Cardiology,53,11,71.34905660377359,1563.438490566038,0.20754716981132076,0.019147169811320752,1.0,1563.44
Medicare,Meridian Choice,Behavioral Health,22,8,79.16818181818182,378.9422727272727,0.36363636363636365,0.17523636363636363,3.9,1477.87
Medicaid,Blue Harbor,Behavioral Health,48,13,67.22916666666667,340.775625,0.2708333333333333,0.0824333333333333,4.0,1363.1
Uninsured,CivicCare,Cardiology,12,3,78.06666666666666,1502.9833333333333,0.25,0.06159999999999999,0.7,1052.09
Uninsured,Meridian Choice,Imaging,18,5,78.25,620.8188888888889,0.2777777777777778,0.08937777777777778,1.6,993.31
Commercial,Meridian Choice,Oncology,31,6,80.1032258064516,4096.69129032258,0.1935483870967742,0.005148387096774176,0.2,819.34
Medicare,Blue Harbor,Behavioral Health,32,8,71.75,357.8984375,0.25,0.06159999999999999,2.0,715.8
Uninsured,Blue Harbor,Behavioral Health,17,5,75.10000000000001,349.8794117647059,0.29411764705882354,0.10571764705882353,1.8,629.78
Medicaid,Blue Harbor,Primary Care,53,13,71.85283018867923,196.05471698113206,0.24528301886792453,0.05688301886792452,3.0,588.16
Medicaid,CivicCare,Primary Care,50,12,72.52199999999999,182.8244,0.24,0.05159999999999998,2.6,475.34
Medicaid,Aster Health,Primary Care,75,16,72.512,180.2304,0.21333333333333335,0.024933333333333335,1.9,342.44
Commercial,CivicCare,Behavioral Health,91,18,75.81868131868131,324.2661538461539,0.1978021978021978,0.009402197802197781,0.9,291.84
Medicare,Meridian Choice,Primary Care,53,11,80.72641509433963,191.24188679245282,0.20754716981132076,0.019147169811320752,1.0,191.24
Medicaid,Meridian Choice,Imaging,41,8,71.77804878048781,627.8553658536586,0.1951219512195122,0.00672195121951219,0.3,188.36
Uninsured,CivicCare,Imaging,25,5,81.692,610.3076,0.2,0.0116,0.3,183.09
Medicare,CivicCare,Behavioral Health,45,9,75.38666666666667,365.4937777777778,0.2,0.0116,0.5,182.75
Commercial,Aster Health,Behavioral Health,109,21,76.56605504587156,349.6019266055046,0.1926605504587156,0.004260550458715595,0.5,174.8
Uninsured,Meridian Choice,Behavioral Health,9,2,75.3111111111111,292.1244444444444,0.2222222222222222,0.0338222222222222,0.3,87.64
Commercial,Meridian Choice,Orthopedics,54,10,78.35185185185185,2179.3133333333335,0.18518518518518517,-0.003214814814814837,0.0,0.0
Medicaid,Meridian Choice,Oncology,27,5,68.65185185185184,4229.377037037037,0.18518518518518517,-0.003214814814814837,0.0,0.0
Medicare,Meridian Choice,Imaging,38,7,81.03947368421052,645.5797368421053,0.18421052631578946,-0.0041894736842105484,0.0,0.0
Medicare,Aster Health,Cardiology,55,10,77.0,1512.4292727272727,0.18181818181818182,-0.006581818181818189,0.0,0.0
Medicare,Aster Health,Behavioral Health,56,10,75.08749999999999,351.1928571428571,0.17857142857142858,-0.009828571428571437,0.0,0.0
Commercial,Blue Harbor,Cardiology,101,18,78.43465346534653,1513.3728712871286,0.1782178217821782,-0.010182178217821802,0.0,0.0
Medicaid,CivicCare,Oncology,34,6,76.20588235294117,4164.131176470588,0.17647058823529413,-0.011929411764705883,0.0,0.0
Medicare,Blue Harbor,Imaging,68,12,78.6470588235294,659.1477941176471,0.17647058823529413,-0.011929411764705883,0.0,0.0
Medicare,Meridian Choice,Orthopedics,34,6,77.33235294117648,2315.8650000000002,0.17647058823529413,-0.011929411764705883,0.0,0.0
Medicare,CivicCare,Oncology,35,6,79.53428571428572,3958.5128571428577,0.17142857142857143,-0.016971428571428582,0.0,0.0
Commercial,Blue Harbor,Orthopedics,89,15,78.31573033707866,2232.8614606741576,0.16853932584269662,-0.019860674157303387,0.0,0.0
Commercial,CivicCare,Imaging,114,19,77.29122807017545,636.8991228070175,0.16666666666666666,-0.021733333333333354,0.0,0.0
Medicare,CivicCare,Cardiology,36,6,81.89722222222223,1503.068888888889,0.16666666666666666,-0.021733333333333354,0.0,0.0
Uninsured,Meridian Choice,Orthopedics,12,2,76.75,2361.3283333333334,0.16666666666666666,-0.021733333333333354,0.0,0.0
Uninsured,Meridian Choice,Primary Care,12,2,79.7,166.43333333333334,0.16666666666666666,-0.021733333333333354,0.0,0.0
Commercial,CivicCare,Orthopedics,92,15,79.97608695652174,2241.2659782608694,0.16304347826086957,-0.025356521739130444,0.0,0.0
Medicaid,Blue Harbor,Oncology,25,4,73.42,4151.7011999999995,0.16,-0.02840000000000001,0.0,0.0
Medicare,Aster Health,Orthopedics,64,10,77.73125,2225.22125,0.15625,-0.03215000000000001,0.0,0.0
Medicaid,Blue Harbor,Cardiology,39,6,71.3948717948718,1495.7643589743589,0.15384615384615385,-0.03455384615384616,0.0,0.0
