county_clean,records,total_emissions,avg_emissions_per_capita,avg_emissions_per_gdp_billion,population
Frederick,60,104760.83,0.0021,44.47,833049.2004929653
Harford,60,89587.91,0.00264,27.9,565019.4396260724
Montgomery,60,89051.76,0.00192,70.94,772337.6565038909
Charles,60,88988.19,0.00169,162.21,879345.5448456433
Anne Arundel,60,80278.31,0.002,54.0,670144.1102800944
Howard,60,75753.66,0.00277,25.28,455430.71125605627
Wicomico,60,46978.89,0.00295,20.27,265132.1386011628
Carroll,60,44823.23,0.00306,21.94,244587.87631389586
Baltimore,60,37509.23,0.00366,16.83,170979.40856965727
Prince George'S,60,28263.04,0.0022,45.86,213749.5052210324
