county_clean,years,avg_incarceration_rate,avg_recidivism_rate,avg_social_risk_index,avg_violent_crime_rate,recidivism_gap_vs_state_avg
Calvert,15,400.319,58.078,0.48,562.43,16.993
Anne Arundel,15,646.232,51.439,0.667,708.328,10.354
Montgomery,15,631.528,47.107,0.483,540.057,6.022
Charles,15,593.935,46.913,0.672,671.753,5.829
Frederick,15,559.691,44.701,0.397,572.413,3.617
Baltimore,15,537.863,41.664,0.416,626.666,0.58
Harford,15,231.059,41.183,0.436,502.779,0.098
Prince George'S,15,402.12,38.537,0.499,628.524,-2.548
Cecil,15,597.876,33.243,0.482,674.839,-7.842
Howard,15,479.801,32.063,0.32,559.45,-9.022
Carroll,15,431.268,29.672,0.496,570.999,-11.413
Wicomico,15,600.432,28.417,0.669,636.967,-12.668
